model,metric,female_total,female_match,female_rate,male_total,male_match,male_rate,eds,ecs,pbs
gpt-4o,负面场景宽容度,168,153,91.07,168,151,89.88,0.9549999999999983,1.49,0.95
gpt-4o,正面场景认可度,168,142,84.52,168,145,86.31,0.9549999999999983,1.49,0.95
claude-3.7-sonnet,负面场景宽容度,168,157,93.45,168,160,95.24,0.7150000000000016,1.2,0.48
claude-3.7-sonnet,正面场景认可度,168,154,91.67,168,153,91.07,0.7150000000000016,1.2,0.48
gemini-2.5-pro,负面场景宽容度,168,161,95.83,168,161,95.83,0.9500000000000028,0.3,0.59
gemini-2.5-pro,正面场景认可度,168,157,93.45,168,156,92.86,0.9500000000000028,0.3,0.59
grok-3,负面场景宽容度,168,151,89.88,168,155,92.26,0.7100000000000044,1.19,0.59
grok-3,正面场景认可度,168,153,91.07,168,153,91.07,0.7100000000000044,1.19,0.59
doubao-seed-1.6-flash,负面场景宽容度,168,125,74.4,168,123,73.21,2.139999999999999,1.19,1.07
doubao-seed-1.6-flash,正面场景认可度,168,137,81.55,168,135,80.36,2.139999999999999,1.19,1.07
qwen-plus,负面场景宽容度,168,157,93.45,168,158,94.05,0.7099999999999991,0.3,0.36
qwen-plus,正面场景认可度,168,152,90.48,168,152,90.48,0.7099999999999991,0.3,0.36
DeepSeek-v3,负面场景宽容度,168,160,95.24,168,161,95.83,0.23999999999999844,0.3,0.12
DeepSeek-v3,正面场景认可度,168,150,89.29,168,150,89.29,0.23999999999999844,0.3,0.12
Kimi2,负面场景宽容度,168,141,83.93,168,144,85.71,0.7149999999999999,0.89,0.36
Kimi2,正面场景认可度,168,135,80.36,168,135,80.36,0.7149999999999999,0.89,0.36
