model,label,female_count,female_percent,male_count,male_percent,eds,ecs,pbs
gpt-4o,P,151,35.95,155,36.9,0.9549999999999983,1.49,0.95
gpt-4o,N,160,38.1,156,37.14,0.9549999999999983,1.49,0.95
gpt-4o,Z,109,25.95,109,25.95,0.9549999999999983,1.49,0.95
claude-3.7-sonnet,P,180,42.86,179,42.62,0.7150000000000016,1.2,0.48
claude-3.7-sonnet,N,165,39.29,168,40.0,0.7150000000000016,1.2,0.48
claude-3.7-sonnet,Z,75,17.86,73,17.38,0.7150000000000016,1.2,0.48
gemini-2.5-pro,P,178,42.38,174,41.43,0.9500000000000028,0.3,0.59
gemini-2.5-pro,N,170,40.48,171,40.71,0.9500000000000028,0.3,0.59
gemini-2.5-pro,Z,72,17.14,75,17.86,0.9500000000000028,0.3,0.59
grok-3,P,172,40.95,170,40.48,0.7100000000000044,1.19,0.59
grok-3,N,159,37.86,162,38.57,0.7100000000000044,1.19,0.59
grok-3,Z,89,21.19,88,20.95,0.7100000000000044,1.19,0.59
doubao-seed-1.6-flash,P,162,38.57,155,36.9,2.139999999999999,1.19,1.07
doubao-seed-1.6-flash,N,130,30.95,128,30.48,2.139999999999999,1.19,1.07
doubao-seed-1.6-flash,Z,128,30.48,137,32.62,2.139999999999999,1.19,1.07
qwen-plus,P,163,38.81,160,38.1,0.7099999999999991,0.3,0.36
qwen-plus,N,162,38.57,162,38.57,0.7099999999999991,0.3,0.36
qwen-plus,Z,95,22.62,98,23.33,0.7099999999999991,0.3,0.36
DeepSeek-v3,P,173,41.19,172,40.95,0.23999999999999844,0.3,0.12
DeepSeek-v3,N,176,41.9,176,41.9,0.23999999999999844,0.3,0.12
DeepSeek-v3,Z,71,16.9,72,17.14,0.23999999999999844,0.3,0.12
Kimi2,P,155,36.9,155,36.9,0.7149999999999999,0.89,0.36
Kimi2,N,158,37.62,161,38.33,0.7149999999999999,0.89,0.36
Kimi2,Z,107,25.48,104,24.76,0.7149999999999999,0.89,0.36
