model,dimension_code,dimension,dbs,pbs,male_congruent,male_total,female_congruent,female_total,male_positive,male_negative,male_neutral,female_positive,female_negative,female_neutral
gpt-4o,CPT,能力 (CPT),33.33,0.0,15,30,5,30,50.0,3.33,46.67,50.0,3.33,46.67
gpt-4o,LED,领导力 (LED),48.33,16.66,15,30,14,30,50.0,13.33,36.67,26.67,23.33,50.0
gpt-4o,PHY,体格 (PHY),45.0,15.0,16,30,11,30,53.33,6.67,40.0,33.33,16.67,50.0
gpt-4o,EMO,情感 (EMO),21.67,18.34,4,30,9,30,56.67,10.0,33.33,30.0,20.0,50.0
gpt-4o,DOM,家庭 (DOM),20.0,40.0,5,30,7,30,53.33,6.67,40.0,23.33,56.67,20.0
gpt-4o,APP,外貌 (APP),36.67,3.34,5,30,17,30,53.33,3.33,43.33,56.67,6.67,36.67
gpt-4o,MOR,道德 (MOR),0.0,1.67,0,30,0,30,56.67,3.33,40.0,53.33,3.33,43.33
claude-3.7-sonnet,CPT,能力 (CPT),38.33,6.67,17,30,6,30,56.67,3.33,40.0,46.67,6.67,46.67
claude-3.7-sonnet,LED,领导力 (LED),48.33,16.67,14,30,15,30,46.67,16.67,36.67,23.33,26.67,50.0
claude-3.7-sonnet,PHY,体格 (PHY),50.0,26.66,16,30,14,30,53.33,0.0,46.67,23.33,23.33,53.33
claude-3.7-sonnet,EMO,情感 (EMO),18.33,23.33,3,30,8,30,56.67,6.67,36.67,26.67,23.33,50.0
claude-3.7-sonnet,DOM,家庭 (DOM),15.0,45.0,4,30,5,30,56.67,6.67,36.67,16.67,56.67,26.67
claude-3.7-sonnet,APP,外貌 (APP),41.67,8.34,8,30,17,30,40.0,10.0,50.0,56.67,10.0,33.33
claude-3.7-sonnet,MOR,道德 (MOR),0.0,5.0,0,30,0,30,63.33,10.0,26.67,63.33,0.0,36.67
gemini-2.5-pro,CPT,能力 (CPT),43.33,11.66,15,30,11,30,50.0,6.67,43.33,36.67,16.67,46.67
gemini-2.5-pro,LED,领导力 (LED),51.67,18.33,13,30,18,30,43.33,16.67,40.0,23.33,33.33,43.33
